image_id,context,category,image_name,label
landslides_1,"ভারী বৃষ্টিপাতের কারণে ভূমিধসের সূত্রপাত হয়েছে যা ঘরবাড়ি ধ্বংস করেছে এবং দক্ষিণ ইতালীয় দ্বীপ ইসচিয়াতে অন্তত সাতজন নিহত হয়েছে, যার মধ্যে দুই ভাইবোন, ৫ এবং ১১ এবং একটি নবজাতক রয়েছে",Landslides,landslides_1.jpg,Severe
landslides_2,"প্রবল বৃষ্টির মধ্যে ইতালির ইসচিয়া দ্বীপে একটি মারাত্মক ভূমিধস আঘাত হানে, একজনের মৃত্যু হয়েছে, ১০ জন এখনও নিখোঁজ রয়েছে। ",Landslides,landslides_2.jpg,Moderate
landslides_3,সোমবার একটি পাহাড়ের পাশে একটি বিশাল ভূমিধসের কারণে দক্ষিণ ইতালির একটি শহরের প্রায় ২০০ বাসিন্দাকে সরিয়ে নেওয়া হয়েছে।,Landslides,landslides_3.jpg,Moderate
landslides_4,"স্থানীয় ভিয়েতনাম সংবাদ সংস্থার সংবাদদাতা অনুসারে, সম্প্রতি, বান তিয়েন গ্রামে, ফু নিন গ্রাম, মিন ফু কমিউনে (সোক সন, হ্যানয়) ভাঙন এবং ভূমিধসের ঘটনা ঘটেছে, যার ফলে অনেক যানবাহন আটকা পড়েছে এবং যাতায়াতের অসুবিধা সৃষ্টি করেছে এবং জনগণকে মানসিকভাবে প্রভাবিত করেছে",Landslides,landslides_4.jpg,Moderate
landslides_5,"জাকার্তা, ২৬ মার্চ (ইউএনআই) ইন্দোনেশিয়ার পশ্চিম সুমাত্রা প্রদেশে ভারী বৃষ্টির কারণে একটি ভূমিধসে একটি উপাসনা কেন্দ্র ক্ষতিগ্রস্ত হয়েছে এবং দুইজন কবি নিহত হয়েছেন।",Landslides,landslides_5.jpg,Severe
landslides_6,"সোমবার একটি ভূমিধস দক্ষিণ ক্যালিফোর্নিয়ার পালোস ভার্দেস উপদ্বীপে বিলাসবহুল বাড়িগুলিকে ছিন্নভিন্ন করে, একটি সংলগ্ন গিরিখাতের উপর ঝুলে থাকা ছাদ, ছিন্নভিন্ন দেয়াল, কাত চিমনি এবং ডেকগুলির একটি বিভ্রান্তিকর জ্যাম ফেলে। ",Landslides,landslides_6.jpg,Moderate
landslides_7,"২'রা ফেব্রুয়ারি দক্ষিণ ইতালীয় উপকূলীয় শহর আমালফিতে একটি উল্লেখযোগ্য ভূমিধসের ঘটনা ঘটে, কারণ পাহাড়ের একটি অংশ রাজ্য সড়কে ধসে পড়ে। ",Landslides,landslides_7.jpg,Mild
landslides_8,"জোশীমঠে বিপদের ঘণ্টা: শহর জুড়ে ফাটল, ৫০০ টিরও বেশি বাড়ি আঘাত। উত্তরাখণ্ডের চামোলি জেলার জোশিমঠে ভূমিধস। ভূমিধসের কারণে বাড়িঘরে ফাটল দেখা দিতে শুরু করে, পুরো শহরে আতঙ্ক ছড়িয়ে পড়ে। এই দুর্ঘটনায় ৫০০ টিরও বেশি বাড়ি আঘাতপ্রাপ্ত হয়।",Landslides,landslides_8.jpg,Moderate
landslides_9,"ভারী বৃষ্টিপাতের কারণে অ্যাড্রিয়াটিক সাগরের এমিলিয়া-রোমাগনা এবং মার্চে বন্যা ও কাদা ধসের সৃষ্টি হয়েছে। পরিস্থিতি প্রথম অঞ্চলে নাটকীয় বিশেষ করে, রাভেনা, ফোরলি-সেসেনা, রিমিনি এবং বোলোগনা প্রদেশে। ফায়ার ব্রিগেডের মতে, ফায়েনজা, সেসেনা এবং ফোরলি সবচেয়ে বেশি ক্ষতিগ্রস্থ শহরগুলির মধ্যে রয়েছে।",Landslides,landslides_9.jpg,Moderate
landslides_10,"খনিজ ও ভূ-বিজ্ঞান বিভাগ অনুসারে, সাতটি ভূমিধস, ছয়টি সেলাঙ্গরে এবং একটি নেগেরি সেম্বিলান, বছরের প্রথম দিনে রিপোর্ট করা হয়েছিল, যা উত্তর-পূর্ব বর্ষাকালে মোট ১৪০-এ পৌঁছেছে। গণপূর্ত বিভাগ ৫৩টি দুর্যোগের ঘটনা উল্লেখ করেছে, যখন ১০৩৯টি ক্ষতিগ্রস্ত যোগাযোগ অবকাঠামোর ৯৬% মেরামত করা হয়েছে। ",Landslides,landslides_10.jpg,Moderate
